Subject,Course,Year,Quarter,Title,Instructor,GPA,A,B,C,D,F,W,P,NP
PSYC,70,24,SP,Research Methods in Psychology,"Pilegard, Celeste Cristine",2.697,32.8%,27.3%,16.4%,11.9%,5.97%,1.49%,2.98%,0%
PSYC,71,24,SP,Lab/Psych Research Methods,"Daniel, Pria Lauren",2.716,28%,30%,30%,6%,4%,2%,0%,0%
PSYC,71,24,SP,Lab/Psych Research Methods,"Geller, Emma Harlan",3.214,50%,31.0%,12.0%,1.72%,3.44%,1.72%,0%,0%
PSYC,100,24,SP,Clinical Psychology,"Chapman, Eddie Nathaniel",3.865,91.6%,5.15%,1.38%,0.39%,0.59%,0%,0.79%,0%
PSYC,101,24,SP,Developmental Psychology,"Walker, Caren Michelle",2.912,39.7%,28.0%,17.1%,6.32%,6.02%,0.60%,1.50%,0.60%
PSYC,102,24,SP,Sensory Neuroscience,"Moranton, Nirelia Melbina-",2.52,24.7%,24.7%,24.7%,11.0%,6.42%,2.75%,1.83%,3.66%
PSYC,104,24,SP,Social Psychology,"Fine, Rachel",3.277,46.5%,36.4%,10.4%,2.60%,1.30%,0.97%,1.30%,0.32%
PSYC,105,24,SP,Cognitive Psychology,"Lowe, Angela Beth",2.802,28.5%,31.8%,25.5%,7.73%,1.78%,0.29%,2.67%,0.89%
PSYC,111B,24,SP,Research Methods II,"Geller, Emma Harlan",3.894,89.4%,5.26%,0%,0%,0%,0%,0%,0%
PSYC,116C,24,SP,Lab/Clinical Psyc Research III,"Lang, Ariel",3.909,90.9%,9.09%,0%,0%,0%,0%,0%,0%
PSYC,117,24,SP,Educ Research/Outreach Lab,"Bajic, Daniel Andrew",3.923,95.4%,0%,4.54%,0%,0%,0%,0%,0%
PSYC,118,24,SP,Laboratory in Animal Behavior,"Miller, Cory T.",3.669,72%,22%,4%,0%,0%,0%,2%,0%
PSYC,124,24,SP,Clinical Assessment/Treatment,"Chapman, Eddie Nathaniel",3.851,89.8%,5.36%,2.06%,0%,0.61%,0%,1.64%,0.41%
PSYC,127,24,SP,Health Inequities &amp; Wellbeing,"Dickenson, Janna Alene",3.763,80%,15%,0%,0%,0%,0%,5%,0%
PSYC,132,24,SP,Hormones and Behavior,"Steiner, Eric Tomas",2.723,31.4%,28.7%,18.5%,8.33%,7.40%,1.85%,0%,2.77%
PSYC,133R,24,SP,Circadian Rhythms-Bio Clocks,"Golden, Susan S.",3.06,33.3%,37.8%,22.7%,1.51%,0%,0%,1.51%,0%
PSYC,134,24,SP,Eating Disorders,"Anderson, Leslie Karwoski",3.133,39.0%,37.2%,14.1%,3.19%,1.77%,0.70%,3.19%,0.70%
PSYC,137,24,SP,Social Cognition,"Lin, Chujun",3.54,67.1%,20.7%,6.22%,0.69%,1.38%,0.34%,3.11%,0.34%
PSYC,144,24,SP,Memory and Amnesia,"Wixted, John T",2.767,31.8%,29.1%,20.4%,7.19%,4.16%,1.89%,3.40%,1.89%
PSYC,147,24,SP,Gender,"Wong, Lauren Hitomi",3.302,48.9%,31.9%,9.92%,2.83%,0.70%,1.41%,2.12%,0.70%
PSYC,164,24,SP,Criminology,"Kaplan, Paul",3.586,66.9%,21.3%,3.90%,1.80%,0.60%,0.30%,4.80%,0.30%
PSYC,172,24,SP,Psychology of Human Sexuality,"Dickenson, Janna Alene",3.555,71.3%,16.2%,4.24%,1.41%,2.12%,1.41%,1.76%,0.70%
PSYC,178,24,SP,Industrial Organizational Psyc,"Glaser, Dale",2.741,24.0%,37.9%,22.4%,9.30%,1.55%,3.10%,1.55%,0%
PSYC,179,24,SP,"Drugs,Addiction&amp;Mental Disordr","Lacefield, Katharine I",3.847,87.3%,10.1%,0.49%,0%,0.24%,0%,1.73%,0%
PSYC,181,24,SP,Drugs And Behavior,"Anagnostaras, Stephan",3.532,58.9%,30.5%,5.97%,0.24%,0%,0.49%,3.48%,0.24%
PSYC,184,24,SP,Choice and Self-Control,"Wilson, Brent M",3.679,70%,16.1%,5.76%,0.76%,0.38%,0.76%,5.76%,0%
PSYC,188,24,SP,Impulse Control Disorders,"Lacefield, Katharine I",3.689,74.3%,18.5%,3.70%,0.61%,0%,0%,2.77%,0%
PSYC,190,24,SP,The Science of Parenting,"Barner, David A.",3.346,48.9%,33.1%,9.47%,1.05%,1.31%,1.05%,4.47%,0.52%
PSYC,193L,24,SP,Psychology Laboratory Topics,"Holden, Stefanie Cathrine Marie",3.334,57.5%,27.2%,6.06%,0%,6.06%,0%,0%,3.03%
PSYC,193L,24,SP,Psychology Laboratory Topics,"Van Alstyne, Kaitlin Rhianna",3.37,59.6%,15.7%,12.2%,1.75%,3.50%,0%,0%,0%
PSYC,193L,24,SP,Psychology Laboratory Topics,"Waltzer, Talia L",3.448,61.7%,29.4%,0%,2.94%,2.94%,0%,0%,0%
PSYC,193L,24,SP,Psychology Laboratory Topics,"Aron, Adam",3.767,79.1%,20.8%,0%,0%,0%,0%,0%,0%
PSYC,193,24,SP,Topics in Psychology,"Brashier, Nadia Marie",3.629,66.6%,21.1%,4.44%,1.11%,0%,1.11%,4.44%,0%
PSYC,193,24,SP,Topics in Psychology,"Gremel, Christina M",3.916,94.7%,5.26%,0%,0%,0%,0%,0%,0%
PSYC,193L,24,SP,Psychology Laboratory Topics,"Brown, Sandra A",3.555,81.8%,0%,18.1%,0%,0%,0%,0%,0%
PSYC,194C,24,SP,Honors Thesis III,"Heyman, Gail D.",4,100%,0%,0%,0%,0%,0%,0%,0%
RELI,150,24,SP,Religion and Cinema,"Rahimi, Babak",4,89.1%,0%,0%,0%,0%,0%,10.8%,0%
MGT,3,24,SP,Quant Methods in Business,"Wagner, Timothy Ryan",2.608,30.3%,18.1%,12.1%,3.03%,12.1%,1.51%,16.6%,4.54%
MGT,5,24,SP,Managerial Accounting,"Molloie Jr., William H",2.271,20.7%,21.9%,22.5%,12.8%,11.5%,2.43%,3.04%,4.87%
MGT,12,24,SP,Personal Financial Management,"Lindenberger, Wade Douglas",3.81,75.6%,8.29%,1.03%,0.51%,0%,0.51%,12.9%,0.51%
MGT,12,24,SP,Personal Financial Management,"Pecore, Joseph P.",3.207,35.7%,29.5%,8.16%,2.04%,1.02%,1.02%,20.4%,1.02%
MGT,16,24,SP,Personal Ethics at Work,"Buchanan, Harold G",3.417,59.7%,23.3%,7.06%,0%,3.80%,1.08%,2.17%,2.17%
MGT,16,24,SP,Personal Ethics at Work,"Campbell, Robert Harold",2.792,16.9%,48.2%,22.7%,1.78%,3.12%,2.67%,3.57%,0.44%
MGT,18,24,SP,Managing Diverse Teams,"Chamberlain, Travis Dean",3.362,52.7%,34.5%,3.63%,3.63%,0%,0%,5.45%,0%
MGT,18,24,SP,Managing Diverse Teams,"McKay, Michael J",3.043,24.8%,37.8%,9.60%,2.25%,1.12%,0.56%,22.0%,1.69%
MGT,45,24,SP,Principles of Accounting,"Pecore, Joseph P.",3.029,43.4%,24.9%,16.3%,2.13%,4.98%,2.84%,3.91%,0.35%
MGT,71R,24,SP,Business &amp; Operations Mgt,"Phiroz, Zal Navroze",3.611,64.1%,33.0%,0%,0%,0%,0%,2.83%,0%
MGT,71,24,SP,Business &amp; Operations Mgt,"Lee, Hyun Seok",2.756,34.6%,30.6%,16.3%,12.2%,4.08%,2.04%,0%,0%
MGT,100,24,SP,Customer Analytics,"Wilbur, Kenneth C",3.099,22.2%,60%,14.6%,0%,0%,0.44%,2.22%,0%
MGT,103,24,SP,Product Marketing &amp; Management,"Demill, Burritt",3.03,35.7%,40%,11.5%,3.15%,2.10%,3.15%,4.21%,0%
MGT,103,24,SP,Product Marketing &amp; Management,"Bates, Kenneth Walter",3.004,25.8%,42.6%,16.8%,1.12%,0%,0%,12.3%,1.12%
MGT,103,24,SP,Product Marketing &amp; Management,"Eberhard, Craig A",2.982,31.7%,34.9%,0%,6.34%,4.76%,4.76%,14.2%,3.17%
MGT,103,24,SP,Product Marketing &amp; Management,"Ehrich, Kristine R",3.181,39.5%,39.8%,13.2%,1.74%,1.04%,0%,4.54%,0%
MGT,105,24,SP,Product Promotion &amp; Brand Mgt,"Bates, Kenneth Walter",3.456,55.3%,34.0%,5.31%,0%,1.06%,0%,4.25%,0%
MGT,106,24,SP,Sales and Sales Management,"Eberhard, Craig A",3.027,43.2%,21.6%,9.27%,8.24%,5.15%,2.06%,8.24%,2.06%
MGT,109,24,SP,Topics in Marketing,"Campbell, Colin Leslie",3.111,36.0%,40.2%,16.4%,4.12%,0%,0%,2.06%,0%
MGT,112,24,SP,Global Business Strategy,"Somasundaram, Tyagarajan",3.235,42.6%,48.6%,2.60%,0%,4.34%,0.86%,0.86%,0%
MGT,112,24,SP,Global Business Strategy,"Zimmermann, Carsten",3.541,57.7%,40.2%,2.06%,0%,0%,0%,0%,0%
MGT,119,24,SP,Topics in Business,"Davis, Kathleen Ann",3.827,82.2%,15.5%,0%,0%,0%,0%,2.22%,0%
MGT,119,24,SP,Topics in Business,"Anderson, Jon Marcus",3.909,92.4%,3.22%,0%,0%,1.07%,0%,3.22%,0%
MGT,121B,24,SP,Innovation to Market B,"Klaas, Jeffrey David",3.31,47.8%,36.2%,11.5%,0%,1.44%,0%,2.89%,0%
MGT,128R,24,SP,Business Innovation &amp; Growth,"Krishnan, Viswanathan",3.339,36.4%,50%,6.25%,0%,0%,0%,7.29%,0%
MGT,131A,24,SP,Intermediate Accounting A,"Houskeeper, Robert",2.527,25.3%,19.0%,9.52%,1.58%,14.2%,17.4%,3.17%,9.52%
MGT,131B,24,SP,Intermediate Accounting B,"Houskeeper, Robert",2.953,50%,15.7%,10.5%,5.26%,7.89%,7.89%,0%,2.63%
MGT,132,24,SP,Auditing,"Blakley, Bruce",3.035,28%,32%,32%,0%,0%,0%,8%,0%
MGT,137,24,SP,Financial Statement Analysis,"Lindenberger, Wade Douglas",3.852,89%,7%,0%,0%,0%,0%,4%,0%
MGT,147,24,SP,Not-for-profit &amp; Govt Acct,"Anderson, John Charles",3.322,27.7%,13.8%,8.33%,0%,0%,0%,50%,0%
MGT,151R,24,SP,Business Analytics,"Phiroz, Zal Navroze",3.446,55.9%,27.9%,6.45%,0%,1.07%,2.15%,6.45%,0%
MGT,153,24,SP,Info Tech - Business Analytics,"Perols, Johan Lars",3.065,41.5%,20.7%,25.9%,0%,1.29%,0%,10.3%,0%
MGT,162,24,SP,Negotiations,"Demill, Burritt",3.671,71.5%,22.7%,1.03%,0.51%,0%,0%,4.14%,0%
MGT,162,24,SP,Negotiations,"Levin, Joel",3.723,77.2%,11.3%,3.62%,1.03%,0.51%,0.51%,3.62%,0%
MGT,164,24,SP,Business and Org Leadership,"Meyer, Alison Bloomfield",3.551,65.5%,27.9%,4.30%,0%,0%,0%,2.15%,0%
MGT,164,24,SP,Business and Org Leadership,"McKay, Mary A",2.813,24.7%,35.5%,28.5%,3.73%,1.40%,1.86%,1.40%,1.40%
MGT,166,24,SP,Corp Social Responsibility,"Moran, Cathleen L.",3.139,34.1%,42.7%,15.6%,0%,1.73%,1.15%,3.46%,1.15%
MGT,167,24,SP,Social Entrepreneurship,"Klaas, Jeffrey David",3.008,21.0%,57.8%,12.6%,2.10%,0%,0%,5.26%,1.05%
MGT,171R,24,SP,Operations Management,"Phiroz, Zal Navroze",3.522,46.3%,44.2%,0%,0%,0%,3.15%,6.31%,0%
MGT,172,24,SP,Business Project Management,"Zimmermann, Carsten",3.337,46.5%,43.1%,4.54%,0%,1.13%,0%,3.40%,1.13%
MGT,172,24,SP,Business Project Management,"Hedges, Kathleen",3.732,75.5%,16.7%,4.78%,0%,0%,0%,2.39%,0%
MGT,173,24,SP,Project Mgt- Health Services,"Hayes, Sherry Lorine",3.539,62.5%,31.2%,3.12%,0%,1.04%,0%,1.04%,1.04%
MGT,175,24,SP,Supply Chain Management,"Gopal, Christopher S.",3.288,42.5%,37.9%,5.74%,1.14%,2.29%,4.59%,5.74%,0%
MGT,180,24,SP,Business Finance,"Bliss, Barbara Ann",3.198,38.9%,39.3%,16.9%,1.01%,0%,1.69%,1.69%,0.33%
MGT,181,24,SP,Enterprise Finance,"Buchanan, Harold G",3.126,40.9%,30.5%,21.5%,0%,2.08%,3.47%,1.38%,0%
MGT,183,24,SP,Financial Investments,"Banerjee, Snehal",3.239,23.9%,65.2%,1.08%,0%,0%,1.08%,8.69%,0%
MGT,185,24,SP,Investment Banking,"Dunn, Louis Jean",3.326,45.8%,26.3%,11.1%,0%,1.38%,8.33%,6.94%,0%
MGT,187,24,SP,New Venture Finance,"Dunn, Louis Jean",2.932,28.5%,36.7%,30.6%,0%,1.02%,0%,3.06%,0%
MGT,189,24,SP,Topics in Finance,"Avenancio-Leon, Carlos",3.523,57.1%,32.9%,5.49%,0%,0%,2.19%,2.19%,0%
SE,3,24,SP,Graphical Comm for Eng Design,"Yarahuaman Chamorro, Axel Arnold",3.273,56.8%,25.5%,8.53%,4.73%,3.31%,0.47%,0%,0.47%
SE,9,24,SP,Algorithms&amp;Programming for SE,"Kuester, Falko",3.816,90.8%,4.59%,1.14%,0%,2.29%,0%,0%,0%
SE,101B,24,SP,Mechanics II: Dynamics,"Kosmatka, John B",2.28,8.19%,36.0%,39.3%,9.83%,6.55%,0%,0%,0%
SE,105,24,SP,Structural Materials,"Qiao, Yu",3.27,48.5%,34.2%,16.1%,0%,0.95%,0%,0%,0%
SE,110A,24,SP,Solid Mechanics I,"Asaro, Robert J",2.563,19.6%,37.2%,33.3%,0%,9.80%,0%,0%,0%
SE,110B,24,SP,Solid Mechanics II,"Zhu, Qiang",2.919,29.8%,35.6%,29.8%,0%,2.29%,0%,0%,0%
SE,130B,24,SP,Structural Analysis II,"Chadha, Mayank",2.805,27.5%,44.1%,17.2%,0%,9.65%,1.37%,0%,0%
SE,131A,24,SP,Finite Element Analysis,"Krysl, Petr",3.106,51.5%,24.5%,15.3%,0%,6.74%,1.22%,0%,0.61%
SE,132,24,SP,Machine Learning for SE,"Chen, Jiun-Shyan",3.615,50%,16.6%,5.55%,0%,0%,11.1%,16.6%,0%
SE,140B,24,SP,Design of Civil Structures II,"Restrepo, Jose",3.603,62.6%,33.3%,0%,0%,0%,0%,0%,0%
SE,143B,24,SP,Aerospace Structural Design II,"Tehrani, Mehran",3.824,89.6%,10.3%,0%,0%,0%,0%,0%,0%
SE,150A,24,SP,Design of Steel Structures I,"Uang, Chia-Ming",3.031,31.4%,43.8%,19.0%,3.30%,0.82%,0.82%,0.82%,0%
SE,150B,24,SP,Design of Steel Structures II,"Morrison, Machel Leigh",2.687,21.0%,26.3%,15.7%,15.7%,0%,0%,15.7%,5.26%
SE,151B,24,SP,Design of Prestressed Concrete,"Shing, P. Benson",3.083,25%,42.8%,17.8%,0%,0%,0%,10.7%,3.57%
SE,160B,24,SP,Aerospace Structural Mechs II,"Kim, Hyunsun Alicia",2.888,34.3%,38.8%,16.4%,5.97%,2.98%,0%,0%,1.49%
SIO,10,24,SP,The Earth,"Borsa, Adrian Antal",3.476,52.0%,22.4%,5.06%,1.18%,1.35%,0.67%,16.5%,0.67%
SIO,16,24,SP,Geology of the National Parks,"Gee, Jeffrey S",2.807,20.5%,17.8%,15.1%,2.67%,3.57%,5.35%,26.7%,8.03%
SIO,50,24,SP,Intro to Physical Geology,"Cook, Geoffrey W",3.21,55.5%,17.7%,11.1%,4.44%,4.44%,0%,6.66%,0%
SIO,75,24,SP,Geological History of Earth,"Norris, Richard D.",3.6,66.6%,27.2%,3.03%,0%,0%,0%,3.03%,0%
SIO,113,24,SP,Comp &amp; Data Analysis in Geosci,"May, David Alexander",3.015,51.3%,16.2%,10.8%,5.40%,8.10%,5.40%,2.70%,0%
SIO,128,24,SP,Microbial Life in Extreme Env.,"Bartlett, Douglas H",2.876,30.0%,30.0%,21.3%,5.82%,1.94%,0.97%,7.76%,1.94%
SIO,135,24,SP,Satellite Remote Sensing,"Fricker, Helen A.",3.447,55.8%,26.4%,5.88%,0%,0%,0%,8.82%,0%
SIO,136,24,SP,Marine Biology Laboratory,"Kacev, David",3.382,57.9%,30.4%,7.24%,0%,2.89%,0%,0%,0%
SIO,139,24,SP,Current Research in Marine Bio,"Kacev, David",0,0%,0%,0%,0%,0%,0%,98.4%,1.53%
SIO,143,24,SP,Ocean Acidification,"Andersson, Andreas Jerry",3.219,47.0%,35.2%,5.88%,5.88%,0%,0%,5.88%,0%
SIO,145,24,SP,Intro Field Method Bio Ocean,"Choy, Carolyn Anela",3.4,44.4%,38.8%,5.55%,0%,0%,0%,0%,0%
SIO,153,24,SP,Geomorphology,"Capaldi, Tomas",3.359,61.1%,22.2%,5.55%,0%,5.55%,5.55%,0%,0%
SIO,160,24,SP,Intro to Global Tectonics,"Stegman, David",3.3,50%,33.3%,0%,0%,8.33%,4.16%,4.16%,0%
SIO,164,24,SP,Underwater Archaeology,"Rodriguez, Eric Andrew",3.695,72.0%,11.6%,2.32%,0%,2.32%,0%,9.30%,2.32%
SIO,173,24,SP,Dynamics of Atmos &amp; Climate,"Lutsko, Nicholas J.",3.195,54.5%,13.6%,22.7%,4.54%,0%,0%,4.54%,0%
SIO,174,24,SP,Chemistry of Atmosph and Ocean,"Aluwihare, Lihini",2.99,39.1%,26.0%,13.0%,4.34%,4.34%,0%,4.34%,4.34%
SIO,181,24,SP,Marine Biochemistry,"Tresguerres, Martin",3.436,49.6%,39.4%,4.08%,0%,0%,0.68%,6.12%,0%
SOCI,2,24,SP,The Study of Society,"Rogers, Julia Ellen",3.506,58.3%,27.2%,3.78%,0%,2.27%,0.75%,6.06%,1.51%
SOCI,20,24,SP,Social Change/Modern World,"Calderon-Zaks, Michael Aar",3.811,82.0%,7.46%,2.98%,0%,0%,1.49%,2.98%,0%
SOCI,40,24,SP,Sociology/Health Care Issues,"Raudenbush, Danielle",3.486,64.1%,23.2%,5.55%,0.50%,2.02%,1.01%,3.53%,0%
SOCI,60,24,SP,Practice of Social Research,"Sutton, April Marie",3.185,51.6%,28.6%,5.73%,0.81%,7.37%,0%,4.91%,0.81%
SOCI,100,24,SP,Classical Sociological Theory,"Payne, Christine Anna",3.731,83.0%,6.25%,3.57%,2.67%,0%,0%,3.57%,0.89%
SOCI,103M,24,SP,Computer Appl/Data Management,"Kilpatrick, Kevin",3.779,88.4%,0%,3.84%,0%,0%,0%,3.84%,3.84%
SOCI,104,24,SP,Fld Res:Meth/Participnt Observ,"Turner, Christena L.",3.205,60%,25%,0%,0%,10%,0%,5%,0%
SOCI,104Q,24,SP,Qualitative Interviewing,"Rogers, Julia Ellen",3.254,58.6%,13.7%,10.3%,3.44%,3.44%,0%,6.89%,0%
SOCI,106,24,SP,Comparative&amp;Historical Methods,"Payne, Christine Anna",3.4,62.0%,17.2%,10.3%,0%,3.44%,3.44%,0%,3.44%
SOCI,109,24,SP,Analysis of Sociological Data,"Rona-Tas, Akos",2.811,45.4%,18.1%,4.54%,0%,18.1%,4.54%,4.54%,4.54%
SOCI,111,24,SP,"Local Lives, Global Problems","Ribas Norris, Janet Vanesa",3.104,44.4%,22.2%,11.1%,0%,7.40%,0%,14.8%,0%
SOCI,114,24,SP,Sociology of Humor,"Lampland, Martha",3.252,48.5%,20%,7.14%,4.28%,2.85%,0%,14.2%,1.42%
SOCI,117,24,SP,"Language, Culture &amp; Education","Jones, Gabrielle Anastasia",3.628,72.0%,8.82%,2.94%,0%,4.41%,0%,7.35%,2.94%
SOCI,120T,24,SP,"Spec Top/Cult,Lang&amp;Soc Interac","Geva, Dan",3.9,100%,0%,0%,0%,0%,0%,0%,0%
SOCI,123,24,SP,Japanese Culture Inside/Out,"Tirshfield, Jeffrey T",2.428,10.2%,33.3%,25.6%,7.69%,5.12%,5.12%,12.8%,0%
SOCI,125,24,SP,Sociology of Immigration,"Calderon-Zaks, Michael Aar",3.636,72.2%,14.8%,1.85%,1.85%,1.85%,0%,5.55%,0%
SOCI,126,24,SP,Social Organization/Education,"Jones, Makeba",3.553,76.6%,11.6%,3.33%,0%,6.66%,0%,1.66%,0%
SOCI,133,24,SP,Immigration/Comparative Perspt,"Calderon-Zaks, Michael Aar",3.655,81.8%,10.9%,1.81%,1.81%,3.63%,0%,0%,0%
SOCI,135,24,SP,Medical Sociology,"Ruiz, Jonathan Joseph",3.47,59.6%,26.9%,7.69%,1.92%,0%,0%,3.84%,0%
SOCI,136,24,SP,Data and Society,"Ruiz, Jonathan Joseph",3.504,72.2%,18.5%,1.85%,1.85%,3.70%,0%,0%,1.85%
SOCI,139,24,SP,"Socl Inequal:Class,Race,Gender","Ribas Norris, Janet Vanesa",3.583,52.1%,26.7%,2.81%,0%,0%,2.81%,11.2%,2.81%
SOCI,140J,24,SP,Sociology of Social Justice,"Estefan, Michel",3.389,62.1%,21.8%,6.72%,2.52%,3.36%,0%,2.52%,0.84%
SOCI,142,24,SP,Social Deviance,"Crofts, Christine",3.889,89.1%,5.40%,2.70%,0%,0%,0%,1.35%,0%
SOCI,146,24,SP,Criminal Punishment,"Summers, Valerie R.",3.417,46.2%,28.7%,3.78%,1.51%,2.27%,3.03%,12.8%,1.51%
SOCI,156,24,SP,Sociology of Religion,"Ostovany, Khashayar",3.526,57.8%,31.5%,0%,0%,2.63%,2.63%,5.26%,0%
SOCI,157,24,SP,Religion/Contemporary Society,"Jules-Rosette, Bennetta W.",3.508,83.3%,8.33%,0%,0%,8.33%,0%,0%,0%
SOCI,159,24,SP,Spec Top/Soc/Organztns&amp;Institn,"Estefan, Michel",3.375,62.1%,22.5%,6.30%,2.70%,2.70%,0%,2.70%,0%
SOCI,161,24,SP,Sociology of the Life Course,"Arnal, Maud Marie Leonie",3.514,67.8%,25%,3.57%,0%,3.57%,0%,0%,0%
SOCI,162,24,SP,Popular Culture,"Holkenbrink-Monk, Charlene",3.543,70%,14%,2%,0%,6%,2%,6%,0%
SOCI,165,24,SP,Predicting the Future,"Rona-Tas, Akos",3.712,72.8%,20%,1.42%,1.42%,0%,1.42%,1.42%,1.42%
SOCI,171,24,SP,Technology and Society,"Thorpe, Charles Robert",2.775,43.7%,25%,12.5%,6.25%,12.5%,0%,0%,0%
SOCI,173,24,SP,"Soc/Health, Illness, Medicine","Crofts, Christine",3.961,94.9%,3.36%,0%,0%,0%,0%,0.84%,0%
SOCI,180,24,SP,Social Movemnts&amp;Social Protest,"Ostovany, Khashayar",3.285,53.1%,15.6%,6.25%,6.25%,3.12%,0%,9.37%,0%
SOCI,183,24,SP,Geography/American Opportunity,"Sutton, April Marie",3.718,78.2%,13.0%,4.34%,0%,0%,0%,4.34%,0%
SOCI,185,24,SP,Globalization &amp; Social Develop,"Kohler, Kristopher M.",3.21,54.5%,18.1%,9.09%,9.09%,0%,0%,0%,9.09%
SOCI,188D,24,SP,Latin Amer: Society &amp; Politics,"Kokinis, Troy Andreas",3.548,48.1%,29.6%,0%,0%,0%,0%,11.1%,0%
ENG,10,24,SP,Fundamentals/Engineering Appln,"Evdokimenko, Ekaterina",3.518,57.1%,19.0%,0%,4.76%,0%,4.76%,9.52%,4.76%
ENG,100L,24,SP,Design for Development Lab,"Boyle, Mary E. T.",4,100%,0%,0%,0%,0%,0%,0%,0%
ENG,100D,24,SP,Sustainable Development Design,"Ngo, Anh-Thu T.",3.788,81.3%,13.5%,1.69%,0%,0%,1.69%,0%,0%
ENG,100L,24,SP,Design for Development Lab,"Bratton, Maryann",3.89,90.4%,9.52%,0%,0%,0%,0%,0%,0%
ENG,100DR,24,SP,Sustainable Development Design,"Ngo, Anh-Thu T.",3.602,61.7%,29.7%,2.12%,0%,0%,0%,6.38%,0%
PH,196BH,24,SP,Honors Practicum II,"Binkin, Nancy Jeanne",4,100%,0%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Birberick, Brittany Celest",3.926,97.3%,2.63%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Deavenport, James Cary",3.947,90%,5%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Iatarola, Briana Marie",3.968,98.3%,1.66%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Difruscio, Mark",3.95,95%,5%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Rosenberg, Ryan Glenn",3.921,97.4%,2.56%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Atkinson, Arthur Laird",3.83,87.5%,12.5%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Hom, Kirstyn Courtney",3.822,85%,11.6%,3.33%,0%,0%,0%,0%,0%
SYN,1R,24,SP,Communicating/Changing Planet,"Difruscio, Mark",3.977,100%,0%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Bishop, Graham",3.741,83.0%,13.5%,3.38%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Browne, Emily",3.86,92.5%,2.5%,5%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Gladstein, Jill M",3.966,96.5%,3.44%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Meyer, Leslie Rose",3.918,95%,2.5%,2.5%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Rock, Martin",3.856,89.7%,7.69%,2.56%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Tawater, Hanna Jean",3.98,100%,0%,0%,0%,0%,0%,0%,0%
SYN,1,24,SP,Communicating/Changing Planet,"Vega, Adrian",3.946,92.3%,7.69%,0%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Atkinson, Arthur Laird",3.857,90%,6.66%,3.33%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Rock, Martin",3.81,87.0%,9.67%,3.22%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Deavenport, James Cary",3.807,86.2%,10.3%,3.44%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Gladstein, Jill M",3.91,95.2%,4.76%,0%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Rosenberg, Ryan Glenn",3.767,80%,16.6%,3.33%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Browne, Emily",3.933,93.3%,6.66%,0%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Tripathi, Tarang",3.93,95%,5%,0%,0%,0%,0%,0%,0%
SYN,100,24,SP,Engaging/Changing Planet,"Gormally, Brenna",3.9,90%,10%,0%,0%,0%,0%,0%,0%
SYN,150,24,SP,Defining Scope/Changing Planet,"Birberick, Brittany Celest",3.283,72.2%,11.1%,5.55%,0%,11.1%,0%,0%,0%
SYN,150,24,SP,Defining Scope/Changing Planet,"Vega, Adrian",3.938,88.2%,5.88%,0%,0%,0%,5.88%,0%,0%
TDAC,1,24,SP,Introduction to Acting,"Walsh, Kim C.",3.984,89.6%,0%,0%,0%,0%,0%,9.43%,0%
TDAC,101,24,SP,Acting I,"Celik, Aysan Karagasli",3.828,88.4%,0%,7.69%,0%,0%,0%,3.84%,0%
TDAC,102,24,SP,Acting II,"Harting, Carla Kelso",3.941,88.8%,5.55%,0%,0%,0%,0%,0%,0%
TDAC,102,24,SP,Acting II,"Walsh, Kim C.",3.867,93.3%,0%,6.66%,0%,0%,0%,0%,0%
TDAC,108,24,SP,Advanced Topics,"Buescher, Stephen W.",3.923,87.5%,6.25%,0%,0%,0%,0%,6.25%,0%
TDAC,109,24,SP,Singing for Actors,"Blair, Kyle Adam",4,90%,0%,0%,0%,0%,5%,5%,0%
